date,text,href,FullText,KeySent
2018.05.30 ,"
李克强主持召开国务院常务会议确定进一步积极有效利用外资的措施 推动扩大开放促进经济升级决定较大范围下调日用消费品进口关税 更好满足群众多样化消费需求部署建立残疾儿童康复救助制度 给他们更多帮扶和关爱
2018.05.30 
",http://www.gov.cn/guowuyuan/cwhy/20180530c12/index.htm,"会议指出，要按照党中央、国务院部署，营造更加公平、透明、便利的外商投资环境，推动形成全面开放新格局，努力保持我国作为全球外商投资主要目的地地位。会议确定：一是放宽市场准入。落实已明确的取消或放宽汽车、船舶、飞机等制造业领域外资准入限制的承诺。完善合格境外投资者制度，积极引入境外交易者参与原油、铁矿石等期货交易，支持外资金融机构更多参与地方政府债券承销。二是对标国际提升投资便利化水平。今年7月1日前要完成修订出台外商投资准入负面清单工作。将清单内投资总额10亿美元以下的外资企业设立及变更，下放至省级政府审批和管理。简化外国人才来华工作许可程序，在中国境内注册企业选聘符合条件的外国人才可在2个工作日内获发签证。三是保护外资合法权益。严打侵权假冒、侵犯商业秘密、商标恶意抢注等行为，大幅提高知识产权侵权法定赔偿上限。四是强化国家级开发区利用外资重要平台作用，示范带动提高利用外资水平。五要完善和用好信贷、用地、社保等支持政策，降低企业经营成本。引导外资更多投向中西部地区和现代农业、生态建设、先进制造业、现代服务业。
会议指出，进一步降低日用消费品进口关税，有利于扩大开放、满足群众需求，倒逼产品提质、产业升级。会议决定，从今年7月1日起，将服装鞋帽、厨房和体育健身用品等进口关税平均税率由15.9%降至7.1%；将洗衣机、冰箱等家用电器进口关税平均税率由20.5%降至8%；将养殖类、捕捞类水产品和矿泉水等加工食品进口关税平均税率从15.2%降至6.9%；将洗涤用品和护肤、美发等化妆品及部分医药健康类产品进口关税平均税率由8.4%降至2.9%。有关部门要落实降税措施，防止中间环节加价获利，让广大消费者受惠，促进国内产业竞争力提升。
为更好保障广大残疾儿童权益、促进社会文明进步，会议决定，建立残疾儿童康复救助制度，从今年10月1日起，对符合条件的0—6岁视力、听力、言语、肢体、智力等残疾儿童和孤独症儿童，包括经济困难家庭、福利机构收养的残疾儿童和残疾孤儿等，提供手术、辅助器具配置和康复训练等救助。救助经费纳入县级以上地方政府预算，中央财政给予适当补助。到2020年基本实现残疾儿童应救尽救。
会议还研究了其他事项。","李克强主持召开国务院常务会议
确定进一步积极有效利用外资的措施 推动扩大开放促进经济升级
决定较大范围下调日用消费品进口关税 更好满足群众多样化消费需求
部署建立残疾儿童康复救助制度 给他们更多帮扶和关爱"
2018.05.23 ,"
李克强主持召开国务院常务会议确定加大困难地区和薄弱环节教育投入 推进多渠道增加托幼和学前教育资源供给采取措施加快推进奶业振兴保障乳品质量安全决定深化服务贸易创新发展试点 以开放推动经济结构优化升级
2018.05.23 
",http://www.gov.cn/guowuyuan/cwhy/20180523c11/index.htm,"国务院总理李克强5月23日主持召开国务院常务会议，确定加大困难地区和薄弱环节教育投入，推进多渠道增加托幼和学前教育资源供给；采取措施加快推进奶业振兴、保障乳品质量安全；决定深化服务贸易创新发展试点，以开放推动经济结构优化升级。
会议指出，按照党中央、国务院部署，继续加大对困难地区、薄弱环节的教育投入和政策倾斜，有利于促进教育公平和基本公共服务均等化。会议确定，一是2018—2020年中央财政新增安排70亿元，重点支持“三区三州”教育脱贫攻坚。中央预算内投资加大支持贫困县、民族自治县等改善教育设施。二是今年中央财政新增130亿元，通过转移支付重点用于中西部、贫困地区和农村义务教育、职业教育等。三是新增1万名“特岗计划”教师名额，重点向深度贫困地区倾斜。四是逐步全面实现义务教育教师平均工资水平不低于当地公务员平均工资水平，规范教师编制管理。落实乡村教师生活补助政策，加强艰苦边远贫困地区乡村教师培训。
为更好满足亿万家庭“幼有所育”需求，会议要求，严格落实城镇小区配建幼儿园政策，引导社会力量按照规范要求举办普惠性幼儿园和托幼机构，鼓励各地因地制宜多渠道增加供给。强化幼儿安全防护，依法加强准入、安全等监管，落实幼师持证上岗制度。防止和纠正学前教育“小学化”倾向。让广大幼儿健康快乐、父母安心放心。
会议认为，奶业是健康中国、强壮民族不可或缺的产业。必须加快推进奶业振兴，提升乳品质量安全水平。一要大力引进和繁育良种奶牛，建设国家核心育种场。加强优质饲草料生产。发展标准化规模养殖，建设优质奶源基地。二要强化质量安全监管，修订提高生鲜乳、灭菌乳等国家标准，建立全过程质量追溯体系。力争3年内显著提升国产婴幼儿配方乳粉的品质、竞争力和美誉度。三要强化金融保险、奶畜养殖用地等支持，为奶业振兴创造条件。
会议指出，优先发展服务贸易，是推动经济转型升级和向高质量发展的重要举措。会议决定，在2016年国务院批准开展服务贸易创新发展试点基础上，从今年7月1日起至2020年6月30日在北京等17个地区深化试点。重点在电信、旅游、工程咨询、金融、法律等领域推出一批开放举措，同时探索完善跨境交付、境外消费等模式下服务贸易准入制度，逐步取消或放宽限制措施，为相关货物进出口、人才流动等提供通关和签证便利。发展研发设计、检验检测、国际结算、展览等服务贸易，对服务出口实行免税，符合条件的可实行零税率，推动以“互联网+”为先导的新兴服务出口，打造开放发展新亮点。

","李克强主持召开国务院常务会议
确定加大困难地区和薄弱环节教育投入 推进多渠道增加托幼和学前教育资源供给
采取措施加快推进奶业振兴保障乳品质量安全
决定深化服务贸易创新发展试点 以开放推动经济结构优化升级"
2018.05.16 ,"
李克强主持召开国务院常务会议部署推进政务服务一网通办和企业群众办事“只进一扇门”“最多跑一次”决定在全国推开外资企业设立商务备案与工商登记“一口办理”确定进一步降低实体经济物流成本的措施
2018.05.16 
",http://www.gov.cn/guowuyuan/cwhy/20180516c10/index.htm,"会议指出，近年来，按照党中央、国务院部署，各地区各部门深化“放管服”改革，运用“互联网+政务服务”便民利企，取得积极成效。下一步，围绕优化营商环境、激发市场活力和社会创造力，推进政务服务一网通办：一要整合构建国家、省、市三级互联的网上政务服务平台，除法律规定或涉密等外，政务服务均应纳入平台办理。坚持联网通办是原则、孤网是例外，政务服务上网是原则、不上网是例外，原则上不再批准单个部门建设孤立信息系统。二要实行办事要件标准化。公布必须到现场办理事项的“最多跑一次”目录，推行“前台综合受理、后台分类审批、统一窗口出件”。原则上不再保留各地政府部门自设的服务大厅。三要简化办事环节，能共享的材料不得要求重复提交，并完善相关制度。加快电子证照推广互认。四要建立统一数据共享交换平台，对未按要求改造对接政务信息系统的，不审批新项目、不拨付运维经费。五要强化数据共享安全保障，依法加强隐私等信息保护。到2019年底，使网上可办的省级、市县级政务服务事项分别不低于90%、70%。
为推动高水平贸易和投资自由化便利化，会议决定，进一步简化外资企业设立程序，从6月30日起，在全国推行外资商务备案与工商登记“一套表格、一口办理”，做到“无纸化”、“零见面”、“零收费”，大幅压减办理时间。推动银行、海关、税务、外汇等外资企业信息实时共享、联动管理。要加强督查，确保措施切实落地。
为进一步促进物流降本增效，会议确定，一是从2018年5月1日至2019年12月31日，对物流企业承租的大宗商品仓储设施用地减半征收城镇土地使用税。同时，从今年7月1日至2021年6月30日，对挂车减半征收车辆购置税。二是今年底前，实现货车年审、年检和尾气排放检验“三检合一”。简并货运车辆认证许可，对未改变关键结构参数的车型实行备案管理。取消4.5吨及以下普通货运从业资格证和车辆营运证。对货运车辆推行跨省异地检验。制定货车加装尾板国家标准，完善管理。三是推动取消高速公路省界收费站。简化物流企业分支机构设立手续。采取上述措施，加上增值税率调整后相应下调铁路运价，预计全年降低物流成本120多亿元。会议要求积极发展公路、铁路、水运多式联运，进一步提升物流效率。
会议还研究了其他事项。

","李克强主持召开国务院常务会议
部署推进政务服务一网通办和企业群众办事“只进一扇门”“最多跑一次”
决定在全国推开外资企业设立商务备案与工商登记“一口办理”
确定进一步降低实体经济物流成本的措施"
2018.05.02 ,"
李克强主持召开国务院常务会议采取措施将企业开办时间和工程建设项目审批时间压减一半以上 进一步优化营商环境通过《人力资源市场暂行条例(草案)》
2018.05.02 
",http://www.gov.cn/guowuyuan/cwhy/20180502c09/index.htm,"会议指出，落实中央经济工作会议部署和《政府工作报告》任务，深化“放管服”改革，解决营商环境中存在的企业开办和工程建设项目审批效率低、环节多、时间长等问题，有利于降低制度性交易成本、激发大众创业万众创新活力。会议确定，进一步简化企业从设立到具备一般性经营条件的办理环节。一是推行企业登记全程电子化，除特别规定外对企业名称不再实行预先核准。二是将公章刻制备案纳入“多证合一”事项，申请人可自选公章制作单位。三是对已领取加载统一社会信用代码营业执照的企业不再单独进行税务登记、不再单独核发社保登记证，压缩发票申领和参保登记时间。今年各直辖市、计划单列市、副省级城市和省会城市要将企业开办时间压缩一半以上，由目前平均20多个工作日减至8.5个工作日，其他地方也要积极压减企业开办时间，明年上半年在全国实现上述目标。
会议同时确定，在北京、天津、上海、重庆、沈阳、大连、南京、厦门、武汉、广州、深圳、成都、贵阳、渭南、延安和浙江省等16个地区开展试点，改革精简房屋建筑、城市基础设施等工程建设项目审批全过程和所有类型审批事项，推动流程优化和标准化。具体内容：一是精简审批。取消施工合同、建筑节能设计审查备案等事项，将消防、人防等设计并入施工图设计文件审查。环境影响、节能等评价不再作为项目审批或核准条件，由政府统一组织区域评估。二是分类管理。简化社会投资的中小型工程建设项目审批。对社会投资的房屋建筑工程，建设单位可自主决定发包方式。三是压缩流程。推行联合勘验、测绘、审图等，规划、国土、市政公用等单位限时联合验收。实行“一张蓝图”明确项目建设条件、“一个系统”受理审批督办、“一个窗口”提供综合服务、“一张表单”整合申报材料、“一套机制”规范审批运行。今年在试点地区实现工程建设项目审批时间压缩一半以上，由目前平均200多个工作日减至120个工作日，明年上半年在全国实现这一目标，推动政府职能转向减审批、强监管、优服务，促进市场公平竞争。
为建设统一开放、竞争有序的人力资源市场，更好服务就业创业和高质量发展，会议通过《人力资源市场暂行条例（草案）》。草案突出规范人力资源市场活动，促进人力资源自由有序流动，细化了就业促进等规定，明确了市场监管措施。
会议还研究了其他事项。

","李克强主持召开国务院常务会议
采取措施将企业开办时间和工程建设项目审批时间压减一半以上 进一步优化营商环境
通过《人力资源市场暂行条例（草案）》"
2018.04.25 ,"
李克强主持召开国务院常务会议决定再推出7项减税措施 支持创业创新和小微企业发展部署对银行普惠金融服务实施监管考核 确保今年实体经济融资成本下降
2018.04.25 
",http://www.gov.cn/guowuyuan/cwhy/20180425c08/index.htm,"国务院总理李克强4月25日主持召开国务院常务会议，决定再推出7项减税措施，支持创业创新和小微企业发展；部署对银行普惠金融服务实施监管考核，确保今年实体经济融资成本下降。
为降低创业创新成本、增强小微企业发展动力、促进扩大就业，会议决定，按照中央经济工作会议和《政府工作报告》要求，加大减税力度，一是将享受当年一次性税前扣除优惠的企业新购进研发仪器、设备单位价值上限，从100万元提高到500万元。二是将享受减半征收企业所得税优惠政策的小微企业年应纳税所得额上限，从50万元提高到100万元。以上两项措施实施期限为2018年1月1日至2020年12月31日。三是取消企业委托境外研发费用不得加计扣除限制。四是将高新技术企业和科技型中小企业亏损结转年限由5年延长至10年。五是将一般企业的职工教育经费税前扣除限额与高新技术企业的限额统一，从2.5%提高至8%。前述三项措施从今年1月1日起实施。六是从5月1日起，将对纳税人设立的资金账簿按实收资本和资本公积合计金额征收的印花税减半，对按件征收的其他账簿免征印花税。七是将目前在8个全面创新改革试验地区和苏州工业园区试点的创业投资企业和天使投资个人投向种子期、初创期科技型企业按投资额70%抵扣应纳税所得额的优惠政策推广到全国。企业所得税、个人所得税有关优惠政策分别自1月1日和7月1日起执行。采取以上7项措施，预计全年将再为企业减轻税负600多亿元。
会议指出，按照党中央、国务院部署，加强对小微企业、“三农”等薄弱环节的普惠金融服务，必须落实好已确定的政策，让企业切实感受到融资成本下降。目前大中型商业银行已普遍设立普惠金融机构，专业化经营机制基本成型，截至去年末新发放普惠金融贷款3.4万多亿元。下一步要将银行开展普惠金融服务情况作为监管支持政策重要参考，制定监管考核办法，抓紧完善普惠金融服务保障体系，加强信用信息系统建设，支持银行制定专门的普惠信贷计划、安排专项激励费用、细化尽职免责办法，探索小微企业中长期固定资产贷款、新型农业经营主体设施抵押贷款、扶贫金融等产品创新，确保单户授信1000万元以下的小微企业贷款增速不低于各项贷款增速、贷款户数不低于上年同期水平，合理控制小微企业贷款质量和贷款综合成本，力争到三季度末小微企业融资成本有较明显降低。加大督查、审计等力度。使普惠金融助力小微企业发展和脱贫攻坚。
会议还研究了其他事项。

","李克强主持召开国务院常务会议
决定再推出7项减税措施 支持创业创新和小微企业发展
部署对银行普惠金融服务实施监管考核 确保今年实体经济融资成本下降
"
2018.04.18 ,"
李克强主持召开国务院常务会议确定推行终身职业技能培训制度的政策措施 提高劳动者素质促进高质量发展决定对职务科技成果转化获得的现金奖励实行个人所得税优惠 使创新成果更好服务发展和民生
2018.04.18 
",http://www.gov.cn/guowuyuan/cwhy/20180418c07/index.htm,"国务院总理李克强4月18日主持召开国务院常务会议，确定推行终身职业技能培训制度的政策措施，提高劳动者素质、促进高质量发展；决定对职务科技成果转化获得的现金奖励实行个人所得税优惠，使创新成果更好服务发展和民生。
会议指出，推动经济转型升级和高质量发展，既要有先进装备作基础，又要有劳动者素质和技能提升作支撑。按照党的十九大精神，建立并推行终身职业技能培训制度，以促进就业创业为目标，面向城乡全体劳动者提供普惠性、均等化、贯穿学习和职业生涯全过程的终身职业技能培训，并将工匠精神、质量意识融入其中，有利于缓解技能人才短缺的结构性矛盾、提高全要素生产率、推动经济迈上中高端。会议确定，一是充分发挥企业主体作用，适应产业升级需求，采取政府补贴培训、企业自主培训、市场化培训等方式，支持企业大规模开展职业技能培训。全面推行新型学徒制度，对企业新招用和转岗人员开展技能培训。二是着力培养高技能人才，重点强化高级技师等培训。教育部、财政部和人力资源社会保障部要抓紧研究支持企业开展技能培训、加快培养高技能人才的措施。三是对高校毕业生、新生代农民工等重点群体广泛开展就业创业技能培训。促进职业技能培训与学历教育相互衔接。四是健全以职业能力为导向的人才评价、技能等级等制度，制定企业技术工人按技能要素和创新成果贡献参与分配的办法，鼓励凭技能创造财富、增加收入。五是大力发展民办职业技能培训，鼓励企业兴办职业培训机构。六是加大职业技能培训经费保障，建立政府、企业、社会多元投入机制。政府补贴的职业技能培训项目全部向具备资质的职业院校和培训机构开放。七是强化培训质量监管，对职业技能培训公共服务项目实施目录清单管理，完善培训绩效评估体系。用更加优质高效的职业技能培训，打造素质高、创新力强的产业工人队伍。
会议指出，加大对科技成果转化的政策激励，有利于更大激发创新活力，提升经济竞争力，促进民生改善。会议决定，在落实好科技人员股权奖励递延纳税优惠政策的同时，对因职务科技成果转化获得的现金奖励给予税收优惠。具体是：对依法批准设立的非营利性科研机构、高校等单位的科技人员，通过科研与技术开发所创造的专利技术、计算机软件著作权、生物医药新品种等职务创新成果，采取转让、许可方式进行成果转化的，在相关单位取得转化收入后三年内发放的现金奖励，减半计入科技人员当月个人工资薪金所得计征个人所得税，减轻税收负担，促进科技成果转化提速。
会议还研究了其他事项。

","李克强主持召开国务院常务会议
确定推行终身职业技能培训制度的政策措施 提高劳动者素质促进高质量发展
决定对职务科技成果转化获得的现金奖励实行个人所得税优惠 使创新成果更好服务发展和民生
"
2018.04.12 ,"
李克强主持召开国务院常务会议确定发展“互联网+医疗健康”措施 缓解看病就医难题提升人民健康水平决定对进口抗癌药实施零关税并鼓励创新药进口 顺应民生期盼使患者更多受益部署全面加强乡村小规模学校和乡镇寄宿制学校建设 为农村孩子提供公平有质量的义务教育
2018.04.12 
",http://www.gov.cn/guowuyuan/gwycwhy/20180412c06/index.htm,"会议指出，按照党中央、国务院部署，加快发展“互联网+医疗健康”，可以提高医疗服务效率，让患者少跑腿、更便利，使更多群众能分享优质医疗资源。会议确定，一是加快二级以上医院普遍提供预约诊疗、检验检查结果查询等线上服务。允许医疗机构开展部分常见病、慢性病复诊等互联网医疗服务。二是推进远程医疗覆盖全国所有医联体和县级医院，推动东部优质医疗资源对接中西部需求。支持高速宽带网络覆盖城乡医疗机构，建立互联网专线保障远程医疗需要。三是探索医疗机构处方与药品零售信息共享。推行医保智能审核和“一站式”结算。健全“互联网+医疗健康”标准体系，加快信息互通共享，强化医疗质量监管和信息安全防护。
为减轻广大患者特别是癌症患者药费负担并有更多用药选择，会议决定，一是从2018年5月1日起，将包括抗癌药在内的所有普通药品、具有抗癌作用的生物碱类药品及有实际进口的中成药进口关税降至零，使我国实际进口的全部抗癌药实现零关税。较大幅度降低抗癌药生产、进口环节增值税税负。二是抓紧研究综合措施，采取政府集中采购、将进口创新药特别是急需的抗癌药及时纳入医保报销目录等方式，并研究利用跨境电商渠道，多措并举消除流通环节各种不合理加价，让群众切实感受到急需抗癌药的价格有明显降低。三是加快创新药进口上市。将临床试验申请由批准制改为到期默认制，对进口化学药改为凭企业检验结果通关，不再逐批强制检验。四是加强知识产权保护。对创新化学药设置最高6年的数据保护期，保护期内不批准同品种上市。对在中国与境外同步申请上市的创新药给予最长5年的专利保护期限补偿。五是强化质量监管，加强进口药品境外生产现场检查，严打制假售假。
会议指出，因地制宜、优化布局，办好乡村小规模学校和乡镇寄宿制学校，有利于促进教育公平。对地处偏远、生源较少的地方，一般在村设置低年级学段小规模学校，在乡镇设置寄宿制中心学校，方便农村孩子就近入学和留守儿童照护。要优化财政支出结构，改善办学条件，依法提高教师待遇，编制、职称评聘等向小规模学校倾斜。通过“互联网+”教育、对口支教等方式，提高乡村学校办学水平。

","李克强主持召开国务院常务会议
确定发展“互联网+医疗健康”措施 缓解看病就医难题提升人民健康水平
决定对进口抗癌药实施零关税并鼓励创新药进口 顺应民生期盼使患者更多受益
部署全面加强乡村小规模学校和乡镇寄宿制学校建设 为农村孩子提供公平有质量的义务教育
"
2018.04.04 ,"
李克强主持召开国务院常务会议决定进一步减少涉企收费 降低实体经济成本听取宽带网络提速降费工作汇报 推动数字经济发展和信息消费确定支持留学回国人员创业创新措施 更大力度吸引人才
2018.04.04 
",http://www.gov.cn/guowuyuan/gwycwhy/20180404c05/index.htm,"国务院总理李克强4月4日主持召开国务院常务会议，决定进一步减少涉企收费，降低实体经济成本；听取宽带网络提速降费工作汇报，推动数字经济发展和信息消费；确定支持留学回国人员创业创新措施，更大力度吸引人才。
为落实党中央部署和《政府工作报告》要求，进一步清理规范涉企收费，减轻市场主体负担，会议确定，一是将阶段性降低企业职工基本养老保险单位缴费比例、失业保险及工伤保险费率政策期限延长至2019年4月30日。符合条件的地区可从今年5月1日起再下调工伤保险费率20%或50%。将阶段性降低企业住房公积金缴存比例政策期限延长至2020年4月30日。鼓励企业在降成本、增效益基础上让职工得实惠。二是完善工程建设领域农民工工资保证金制度，在房屋建筑和市政设施工程中推广使用银行保函。三是将重大水利工程建设基金征收标准在去年已降低25%的基础上，从7月1日起按原标准再降低25%。从4月1日起，停征首次申领居民身份证工本费。8月1日起停征专利登记费等收费，延长专利年费减缴期限。四是将企业缴纳的残疾人就业保障金标准上限从不超过当地社会平均工资3倍降至不超过2倍。政府要继续做好保障残疾人就业工作。五是清理规范物流、能源等收费。确保一般工商业电价平均降低10%，降价效果要组织第三方评估。加快合并货运车辆年检年审，推动降低港口、高速公路、天然气输配等收费。以上措施全年可减轻企业负担3000多亿元。会议要求加大督查，确保降费到位，并规范收费权。
会议指出，按照国务院部署，近年来网络提速降费成效明显。下一步，要落实《政府工作报告》确定的任务，围绕促进经济升级和扩大消费，督促电信企业加大降费力度，7月1日起取消流量“漫游”费，确保今年流量资费降幅30%以上，推动家庭宽带降价30%、中小企业专线降价10%—15%，进一步降低国际及港澳台漫游资费。加快高速宽带城乡全覆盖，今年提前实现98%行政村通光纤，重点支持边远地区等第四代移动通信基站建设，推动飞机上互联网接入业务，支持在酒店、机场、车站等扩大免费上网范围。
会议指出，留学回国人员是国家宝贵人才资源，是大众创业、万众创新的重要力量。为支持留学回国人员创业创新，会议确定：一是进一步简化落户、子女入学等证明和办理手续。二是落实留学回国人员创业优惠政策，支持知识产权抵押贷款等创业融资。推进商标注册便利化，优化企业出口资质申请流程，支持科技成果转化应用。三是建立普惠式公共服务体系，全方位支持留学回国人员初创企业发展。
会议还研究了其他事项。

","李克强主持召开国务院常务会议
决定进一步减少涉企收费 降低实体经济成本
听取宽带网络提速降费工作汇报 推动数字经济发展和信息消费
确定支持留学回国人员创业创新措施 更大力度吸引人才
"
2018.03.28 ,"
李克强主持召开国务院常务会议确定深化增值税改革的措施 进一步减轻市场主体税负决定设立国家融资担保基金 推动缓解小微企业和“三农”等融资难题听取国务院机构改革进展情况汇报 确保机构重置职能调整按时到位讨论通过《国务院工作规则(修订草案)》
2018.03.28 
",http://www.gov.cn/guowuyuan/gwycwhy/20180328c04/index.htm,"会议指出，过去五年通过实施营改增累计减税2.1万亿元。按照党中央、国务院部署，为进一步完善税制，支持制造业、小微企业等实体经济发展，持续为市场主体减负，会议决定，从2018年5月1日起，一是将制造业等行业增值税税率从17%降至16%，将交通运输、建筑、基础电信服务等行业及农产品等货物的增值税税率从11%降至10%，预计全年可减税2400亿元。二是统一增值税小规模纳税人标准。将工业企业和商业企业小规模纳税人的年销售额标准由50万元和80万元上调至500万元，并在一定期限内允许已登记为一般纳税人的企业转登记为小规模纳税人，让更多企业享受按较低征收率计税的优惠。三是对装备制造等先进制造业、研发等现代服务业符合条件的企业和电网企业在一定时期内未抵扣完的进项税额予以一次性退还。实施上述三项措施，全年将减轻市场主体税负超过4000亿元，内外资企业都将同等受益。
按照《政府工作报告》关于扩展普惠金融业务、更好服务实体经济的部署，会议决定，由中央财政发起、联合有意愿的金融机构共同设立国家融资担保基金，首期募资不低于600亿元，采取股权投资、再担保等形式支持各省（区、市）开展融资担保业务，带动各方资金扶持小微企业、“三农”和创业创新。同时，强化社会信用体系建设。基金按照“政府支持、市场运作、保本微利、管控风险”的原则，以市场化方式决策、经营。初步测算，今后三年基金累计可支持相关担保贷款5000亿元左右，约占现有全国融资担保业务的四分之一，着力缓解小微企业、“三农”等普惠领域融资难、融资贵，支持发展战略性新兴产业。
会议指出，国务院机构改革是国务院今年的一件大事。国务院已成立专项协调小组，有关工作正积极稳妥推进。会议要求，要把思想和行动统一到党中央决策部署上来，把深化机构改革同“放管服”结合起来，着力转变和优化政府职能。坚持权责一致，做到日常管理尽责到位、应对突发事件相互补位，形成工作合力，决不允许出现管理“死角”，确保国务院机构改革与经济社会发展工作平稳有序、协同推进，确保完成全年发展主要目标任务。
会议通过《国务院工作规则（修订草案）》，决定提请国务院第一次全体会议审议。

","李克强主持召开国务院常务会议
确定深化增值税改革的措施 进一步减轻市场主体税负
决定设立国家融资担保基金 推动缓解小微企业和“三农”等融资难题
听取国务院机构改革进展情况汇报 确保机构重置职能调整按时到位
讨论通过《国务院工作规则（修订草案）》"
2018.03.21 ,"
李克强主持召开国务院常务会议确定《政府工作报告》重点任务分工 新一届国务院开始全面履职
2018.03.21 
",http://www.gov.cn/guowuyuan/gwycwhy/20180321c03/index.htm,"国务院总理李克强3月21日主持召开国务院常务会议，确定《政府工作报告》重点任务分工。新一届国务院开始全面履职。
会议指出，昨天闭幕的十三届全国人大一次会议表决通过了《政府工作报告》。国务院各部门、各单位要以习近平新时代中国特色社会主义思想为指导，全面深入贯彻党的十九大精神，落实《政府工作报告》部署，坚持稳中求进工作总基调，坚持新发展理念，围绕推动高质量发展，着力深化改革开放，紧抓创业创新培育新动能，在保障和改善民生上多下硬功夫。会议将《政府工作报告》提出的12个方面57项重点任务逐项分解、明确责任，要求各部门、各单位依法履职，勤勉尽责，建立抓落实工作责任制，一把手要亲自抓、负总责，抓紧制定推进重点工作的方案和台账，做到每项任务有措施、有进度安排、有责任人，对市场和群众期盼的重点措施要抓紧出台实施，强化督查，确保落地见效，确保完成全年经济社会发展主要目标任务，实现新一届国务院工作良好开局。
会议强调，当前国际形势错综复杂，我国发展面临不少困难挑战。各级政府一要保持战略定力，努力攻坚克难，提高政策协同性、针对性和有效性，统筹做好稳增长、促改革、调结构、惠民生、防风险工作。持续打好防范化解重大风险、精准脱贫、污染防治三大攻坚战。巩固和扩大经济稳中向好势头。二要抓住“牵牛鼻子”的重点领域改革集中攻坚，把国务院机构改革和深化“放管服”改革结合起来，持续转变政府职能，加快落实企业开办时间再减一半、政务服务一网通办等“六个一”重点任务和减税减费措施，为市场主体优化营商环境，为人民群众办事增加便利，出台进一步放宽准入、扩大开放的政策，更大激发市场活力和社会创造力。三要聚焦就业、教育、医疗、养老等民生重点，纾解民生痛点的新招实招要抓紧推出，普惠性、见实效的实事好事要抓紧办好，把提高群众获得感的要求贯穿到政府工作始终，兑现政府对人民的承诺。
根据十三届全国人大一次会议批准的国务院机构改革方案，会议对依法由国务院审查批准的组成部门以外的国务院所属机构调整和设置进行了讨论，通过了国务院直属特设机构、直属机构、办事机构、直属事业单位、部委管理的国家局设置。会议要求，各部门、各单位要统筹兼顾做好经济社会发展和机构改革工作，做到职责平稳过渡、工作无缝衔接，在相关职责调整到位之前，各有关部门和单位要继续按原职责落实工作任务，确保不出现责任缺位、工作断档，实现机构改革和推动发展互促共进。
会议还研究了其他事项。

","李克强主持召开国务院常务会议
确定《政府工作报告》重点任务分工 新一届国务院开始全面履职"
