date,text,href
2018.05.30 ,"
李克强主持召开国务院常务会议确定进一步积极有效利用外资的措施 推动扩大开放促进经济升级决定较大范围下调日用消费品进口关税 更好满足群众多样化消费需求部署建立残疾儿童康复救助制度 给他们更多帮扶和关爱
2018.05.30 
",http://www.gov.cn/guowuyuan/cwhy/20180530c12/index.htm
2018.05.23 ,"
李克强主持召开国务院常务会议确定加大困难地区和薄弱环节教育投入 推进多渠道增加托幼和学前教育资源供给采取措施加快推进奶业振兴保障乳品质量安全决定深化服务贸易创新发展试点 以开放推动经济结构优化升级
2018.05.23 
",http://www.gov.cn/guowuyuan/cwhy/20180523c11/index.htm
2018.05.16 ,"
李克强主持召开国务院常务会议部署推进政务服务一网通办和企业群众办事“只进一扇门”“最多跑一次”决定在全国推开外资企业设立商务备案与工商登记“一口办理”确定进一步降低实体经济物流成本的措施
2018.05.16 
",http://www.gov.cn/guowuyuan/cwhy/20180516c10/index.htm
2018.05.02 ,"
李克强主持召开国务院常务会议采取措施将企业开办时间和工程建设项目审批时间压减一半以上 进一步优化营商环境通过《人力资源市场暂行条例(草案)》
2018.05.02 
",http://www.gov.cn/guowuyuan/cwhy/20180502c09/index.htm
2018.04.25 ,"
李克强主持召开国务院常务会议决定再推出7项减税措施 支持创业创新和小微企业发展部署对银行普惠金融服务实施监管考核 确保今年实体经济融资成本下降
2018.04.25 
",http://www.gov.cn/guowuyuan/cwhy/20180425c08/index.htm
2018.04.18 ,"
李克强主持召开国务院常务会议确定推行终身职业技能培训制度的政策措施 提高劳动者素质促进高质量发展决定对职务科技成果转化获得的现金奖励实行个人所得税优惠 使创新成果更好服务发展和民生
2018.04.18 
",http://www.gov.cn/guowuyuan/cwhy/20180418c07/index.htm
2018.04.12 ,"
李克强主持召开国务院常务会议确定发展“互联网+医疗健康”措施 缓解看病就医难题提升人民健康水平决定对进口抗癌药实施零关税并鼓励创新药进口 顺应民生期盼使患者更多受益部署全面加强乡村小规模学校和乡镇寄宿制学校建设 为农村孩子提供公平有质量的义务教育
2018.04.12 
",http://www.gov.cn/guowuyuan/gwycwhy/20180412c06/index.htm
2018.04.04 ,"
李克强主持召开国务院常务会议决定进一步减少涉企收费 降低实体经济成本听取宽带网络提速降费工作汇报 推动数字经济发展和信息消费确定支持留学回国人员创业创新措施 更大力度吸引人才
2018.04.04 
",http://www.gov.cn/guowuyuan/gwycwhy/20180404c05/index.htm
2018.03.28 ,"
李克强主持召开国务院常务会议确定深化增值税改革的措施 进一步减轻市场主体税负决定设立国家融资担保基金 推动缓解小微企业和“三农”等融资难题听取国务院机构改革进展情况汇报 确保机构重置职能调整按时到位讨论通过《国务院工作规则(修订草案)》
2018.03.28 
",http://www.gov.cn/guowuyuan/gwycwhy/20180328c04/index.htm
2018.03.21 ,"
李克强主持召开国务院常务会议确定《政府工作报告》重点任务分工 新一届国务院开始全面履职
2018.03.21 
",http://www.gov.cn/guowuyuan/gwycwhy/20180321c03/index.htm
