代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
000001,平安银行,2069,银行,5186,银行Ⅱ
000002,万  科Ａ,2072,房地产,5191,房地产Ⅱ
000004,国农科技,2023,生物制品,5079,生物制品Ⅱ
000005,世纪星源,2082,环境保护,5216,环境保护Ⅱ
000006,深振业Ａ,2072,房地产,5191,房地产Ⅱ
000007,全新好,2075,多元金融,5190,多元金融Ⅱ
000008,神州高铁,2038,专用设备,5104,铁路设备
000009,中国宝安,2077,复合材料,5082,复合材料Ⅱ
000010,美丽生态,2080,园林工程,5203,园林工程Ⅱ
000011,深物业A,2072,房地产,5191,房地产Ⅱ
000012,南  玻Ａ,2032,建材,5090,玻璃
000014,沙河股份,2072,房地产,5191,房地产Ⅱ
000016,深康佳Ａ,2040,家电,5121,黑色家电
000017,深中华A,2046,摩托自行车,5132,助动车
000018,神州长城,2054,工程建筑,5194,建筑装饰
000019,深深宝Ａ,2009,食品饮料,5214,饮料
000020,深华发Ａ,2047,电子元器件,5140,显示器件
000021,深科技,2049,IT设备,5153,IT设备Ⅱ
000022,深赤湾Ａ,2060,港口,5182,港口Ⅱ
000023,深天地Ａ,2032,建材,5091,混凝土
000025,特  力Ａ,2066,零售业,5161,汽车服务
000026,飞亚达Ａ,2079,轻工产品,5217,家用轻工
000027,深圳能源,2052,电力,5135,火电
000028,国药一致,2024,医药流通,5080,医药流通Ⅱ
000029,深深房Ａ,2072,房地产,5191,房地产Ⅱ
000030,富奥股份,2043,汽车配件,5129,汽车配件Ⅱ
000031,中粮地产,2072,房地产,5191,房地产Ⅱ
000032,深桑达Ａ,2064,贸易,5159,贸易Ⅱ
000034,神州数码,2066,零售业,5165,其他商业
000035,中国天楹,2082,环境保护,5216,环境保护Ⅱ
000036,华联控股,2072,房地产,5191,房地产Ⅱ
000037,深南电A,2052,电力,5135,火电
000038,深大通,2073,文化传媒,5172,广告
000039,中集集团,2033,金属制品,5093,金属制品Ⅱ
000040,东旭蓝天,2072,房地产,5191,房地产Ⅱ
000042,中洲控股,2072,房地产,5191,房地产Ⅱ
000043,中航地产,2072,房地产,5191,房地产Ⅱ
000045,深纺织Ａ,2047,电子元器件,5140,显示器件
000046,泛海控股,2072,房地产,5191,房地产Ⅱ
000048,康达尔,2003,饲料加工,5008,饲料加工Ⅱ
000049,德赛电池,2079,轻工产品,5176,普通电池
